Datetime,Global_active_power,Predicted-LSTM
2010-07-19 14:00:00,2.928,4.8242645
2010-07-19 14:10:00,6.298000000000001,4.975306
2010-07-19 14:20:00,2.866,3.6293168
2010-07-19 14:30:00,4.178,7.694969
2010-07-19 14:40:00,2.932,3.2275026
2010-07-19 14:50:00,1.5799999999999998,5.1814384
2010-07-19 15:00:00,3.7659999999999996,3.623508
2010-07-19 15:10:00,6.882000000000001,2.2604716
2010-07-19 15:20:00,8.860000000000001,4.8083367
2010-07-19 15:30:00,4.2,8.196352
2010-07-19 15:40:00,3.592,9.765771
2010-07-19 15:50:00,3.4140000000000006,4.439924
2010-07-19 16:00:00,3.89,4.574293
2010-07-19 16:10:00,3.638,4.4131866
2010-07-19 16:20:00,4.538,4.8728523
2010-07-19 16:30:00,5.41,4.422022
2010-07-19 16:40:00,3.4160000000000004,5.861906
2010-07-19 16:50:00,3.648,6.504986
2010-07-19 17:00:00,4.33,4.0951
2010-07-19 17:10:00,3.4060000000000006,4.5777245
2010-07-19 17:20:00,11.906000000000002,5.298947
2010-07-19 17:30:00,18.214,4.1779037
2010-07-19 17:40:00,13.596,13.144473
2010-07-19 17:50:00,12.225999999999999,18.106115
2010-07-19 18:00:00,12.208000000000002,13.475127
2010-07-19 18:10:00,13.085999999999999,12.70629
2010-07-19 18:20:00,17.848,13.250745
2010-07-19 18:30:00,12.614,13.904977
2010-07-19 18:40:00,12.212,18.033373
2010-07-19 18:50:00,12.881999999999998,13.634256
2010-07-19 19:00:00,14.634,13.785955
2010-07-19 19:10:00,13.671999999999999,13.762894
2010-07-19 19:20:00,16.662,15.5978985
2010-07-19 19:30:00,12.448,14.17137
2010-07-19 19:40:00,13.46,17.413155
2010-07-19 19:50:00,13.304,13.263737
2010-07-19 20:00:00,6.169999999999999,14.255944
2010-07-19 20:10:00,2.068,14.070429
2010-07-19 20:20:00,5.934,6.788445
2010-07-19 20:30:00,2.646,2.8453782
2010-07-19 20:40:00,2.4219999999999997,7.917617
2010-07-19 20:50:00,3.0399999999999996,3.684602
2010-07-19 21:00:00,2.742,3.376479
2010-07-19 21:10:00,3.146,4.3532653
2010-07-19 21:20:00,6.601999999999999,3.7790055
2010-07-19 21:30:00,2.5440000000000005,3.6226094
2010-07-19 21:40:00,1.8419999999999994,7.338013
2010-07-19 21:50:00,6.074,2.7330244
2010-07-19 22:00:00,16.608,2.2332408
2010-07-19 22:10:00,11.48,7.051773
2010-07-19 22:20:00,14.079999999999998,16.831432
2010-07-19 22:30:00,9.994000000000002,10.489204
2010-07-19 22:40:00,10.390000000000002,14.340824
2010-07-19 22:50:00,11.314,10.220723
2010-07-19 23:00:00,10.548000000000002,10.7724695
2010-07-19 23:10:00,11.299999999999997,11.520758
2010-07-19 23:20:00,12.1,11.61245
2010-07-19 23:30:00,9.78,12.341169
2010-07-19 23:40:00,10.21,12.590489
2010-07-19 23:50:00,5.502,10.648809
2010-07-20 00:00:00,3.4159999999999995,10.787685
2010-07-20 00:10:00,5.532,5.9968677
2010-07-20 00:20:00,4.394,4.340498
2010-07-20 00:30:00,4.58,6.835013
2010-07-20 00:40:00,4.846,5.365271
2010-07-20 00:50:00,3.2640000000000002,5.642502
2010-07-20 01:00:00,2.4459999999999997,5.847987
2010-07-20 01:10:00,7.292,4.151334
2010-07-20 01:20:00,3.84,3.152181
2010-07-20 01:30:00,3.0759999999999996,8.451121
2010-07-20 01:40:00,2.4399999999999995,4.2482147
2010-07-20 01:50:00,3.012,3.7071068
2010-07-20 02:00:00,3.534,3.2607722
2010-07-20 02:10:00,7.526,3.8642602
2010-07-20 02:20:00,3.662,4.0507355
2010-07-20 02:30:00,3.9160000000000004,8.434968
2010-07-20 02:40:00,3.2779999999999996,3.90767
2010-07-20 02:50:00,5.969999999999999,4.5488744
2010-07-20 03:00:00,7.973999999999999,3.8001695
2010-07-20 03:10:00,11.407999999999998,6.739424
2010-07-20 03:20:00,7.469999999999999,8.380404
2010-07-20 03:30:00,7.078,11.995366
2010-07-20 03:40:00,4.612,7.7785387
2010-07-20 03:50:00,3.238,7.655279
2010-07-20 04:00:00,3.2239999999999998,5.1753874
2010-07-20 04:10:00,5.542,3.9471877
2010-07-20 04:20:00,3.6660000000000004,3.9800818
2010-07-20 04:30:00,4.24,6.851182
2010-07-20 04:40:00,2.2800000000000002,4.467924
2010-07-20 04:50:00,1.8699999999999997,5.1515017
2010-07-20 05:00:00,4.82,3.0027642
2010-07-20 05:10:00,4.754,2.6660995
2010-07-20 05:20:00,2.792,5.7983155
2010-07-20 05:30:00,1.8599999999999999,5.5485168
2010-07-20 05:40:00,2.2,3.3413982
2010-07-20 05:50:00,9.556000000000001,2.540057
2010-07-20 06:00:00,17.61,3.1483068
2010-07-20 06:10:00,14.398,10.728363
2010-07-20 06:20:00,13.796,17.381464
