Datetime,Global_active_power,Predicted-GRU
2010-07-19 14:00:00,2.928,4.8615084
2010-07-19 14:10:00,6.298000000000001,5.0294847
2010-07-19 14:20:00,2.866,3.643922
2010-07-19 14:30:00,4.178,7.681237
2010-07-19 14:40:00,2.932,3.292434
2010-07-19 14:50:00,1.5799999999999998,5.1907015
2010-07-19 15:00:00,3.7659999999999996,3.657785
2010-07-19 15:10:00,6.882000000000001,2.2879057
2010-07-19 15:20:00,8.860000000000001,4.8622746
2010-07-19 15:30:00,4.2,8.18744
2010-07-19 15:40:00,3.592,9.759565
2010-07-19 15:50:00,3.4140000000000006,4.5051713
2010-07-19 16:00:00,3.89,4.5631413
2010-07-19 16:10:00,3.638,4.4188266
2010-07-19 16:20:00,4.538,4.8908696
2010-07-19 16:30:00,5.41,4.4740224
2010-07-19 16:40:00,3.4160000000000004,5.8594375
2010-07-19 16:50:00,3.648,6.535689
2010-07-19 17:00:00,4.33,4.1592307
2010-07-19 17:10:00,3.4060000000000006,4.596998
2010-07-19 17:20:00,11.906000000000002,5.3348784
2010-07-19 17:30:00,18.214,4.2255063
2010-07-19 17:40:00,13.596,13.081818
2010-07-19 17:50:00,12.225999999999999,18.000433
2010-07-19 18:00:00,12.208000000000002,13.462873
2010-07-19 18:10:00,13.085999999999999,12.664941
2010-07-19 18:20:00,17.848,13.186386
2010-07-19 18:30:00,12.614,13.852826
2010-07-19 18:40:00,12.212,17.974436
2010-07-19 18:50:00,12.881999999999998,13.616479
2010-07-19 19:00:00,14.634,13.71652
2010-07-19 19:10:00,13.671999999999999,13.731023
2010-07-19 19:20:00,16.662,15.551049
2010-07-19 19:30:00,12.448,14.165767
2010-07-19 19:40:00,13.46,17.37168
2010-07-19 19:50:00,13.304,13.246837
2010-07-19 20:00:00,6.169999999999999,14.210068
2010-07-19 20:10:00,2.068,14.05705
2010-07-19 20:20:00,5.934,6.7872334
2010-07-19 20:30:00,2.646,2.8285365
2010-07-19 20:40:00,2.4219999999999997,7.917674
2010-07-19 20:50:00,3.0399999999999996,3.720061
2010-07-19 21:00:00,2.742,3.463933
2010-07-19 21:10:00,3.146,4.4241486
2010-07-19 21:20:00,6.601999999999999,3.8356686
2010-07-19 21:30:00,2.5440000000000005,3.6967611
2010-07-19 21:40:00,1.8419999999999994,7.400145
2010-07-19 21:50:00,6.074,2.7473261
2010-07-19 22:00:00,16.608,2.2530951
2010-07-19 22:10:00,11.48,7.0569944
2010-07-19 22:20:00,14.079999999999998,16.820826
2010-07-19 22:30:00,9.994000000000002,10.5322275
2010-07-19 22:40:00,10.390000000000002,14.3091755
2010-07-19 22:50:00,11.314,10.158662
2010-07-19 23:00:00,10.548000000000002,10.716576
2010-07-19 23:10:00,11.299999999999997,11.492158
2010-07-19 23:20:00,12.1,11.585755
2010-07-19 23:30:00,9.78,12.31345
2010-07-19 23:40:00,10.21,12.599071
2010-07-19 23:50:00,5.502,10.625983
2010-07-20 00:00:00,3.4159999999999995,10.77926
2010-07-20 00:10:00,5.532,5.9778824
2010-07-20 00:20:00,4.394,4.301719
2010-07-20 00:30:00,4.58,6.780078
2010-07-20 00:40:00,4.846,5.3760095
2010-07-20 00:50:00,3.2640000000000002,5.6543374
2010-07-20 01:00:00,2.4459999999999997,5.8795433
2010-07-20 01:10:00,7.292,4.187329
2010-07-20 01:20:00,3.84,3.2381473
2010-07-20 01:30:00,3.0759999999999996,8.487264
2010-07-20 01:40:00,2.4399999999999995,4.2964783
2010-07-20 01:50:00,3.012,3.7219357
2010-07-20 02:00:00,3.534,3.311746
2010-07-20 02:10:00,7.526,3.8669567
2010-07-20 02:20:00,3.662,4.120584
2010-07-20 02:30:00,3.9160000000000004,8.474573
2010-07-20 02:40:00,3.2779999999999996,3.9274302
2010-07-20 02:50:00,5.969999999999999,4.5564156
2010-07-20 03:00:00,7.973999999999999,3.8123977
2010-07-20 03:10:00,11.407999999999998,6.724884
2010-07-20 03:20:00,7.469999999999999,8.406309
2010-07-20 03:30:00,7.078,12.006618
2010-07-20 03:40:00,4.612,7.763471
2010-07-20 03:50:00,3.238,7.6387544
2010-07-20 04:00:00,3.2239999999999998,5.138492
2010-07-20 04:10:00,5.542,3.8925042
2010-07-20 04:20:00,3.6660000000000004,3.951412
2010-07-20 04:30:00,4.24,6.8585305
2010-07-20 04:40:00,2.2800000000000002,4.4782453
2010-07-20 04:50:00,1.8699999999999997,5.187612
2010-07-20 05:00:00,4.82,3.0328536
2010-07-20 05:10:00,4.754,2.700017
2010-07-20 05:20:00,2.792,5.8352613
2010-07-20 05:30:00,1.8599999999999999,5.600033
2010-07-20 05:40:00,2.2,3.3623846
2010-07-20 05:50:00,9.556000000000001,2.5947614
2010-07-20 06:00:00,17.61,3.168218
2010-07-20 06:10:00,14.398,10.728295
2010-07-20 06:20:00,13.796,17.328587
2010-07-20 06:30:00,12.408,14.247067
2010-07-20 06:40:00,2.724,14.065908
2010-07-20 06:50:00,2.8200000000000003,12.89007
2010-07-20 07:00:00,6.618,2.475013
2010-07-20 07:10:00,2.166,3.7957664
2010-07-20 07:20:00,2.1,8.635264
2010-07-20 07:30:00,2.858,3.0499094
2010-07-20 07:40:00,3.3759999999999994,3.3556948
2010-07-20 07:50:00,2.7540000000000004,4.5044413
2010-07-20 08:00:00,5.799999999999999,4.391578
2010-07-20 08:10:00,4.082,3.13625
2010-07-20 08:20:00,3.848,6.9122267
2010-07-20 08:30:00,2.4740000000000006,4.679059
2010-07-20 08:40:00,1.8579999999999999,4.4968214
2010-07-20 08:50:00,1.926,3.189179
2010-07-20 09:00:00,6.3740000000000006,2.6409538
2010-07-20 09:10:00,3.8600000000000003,2.5774634
2010-07-20 09:20:00,1.9899999999999995,7.6746783
2010-07-20 09:30:00,2.014,4.435075
